Age,EstimatedSalary,Purchased,AgeGroup
19,19000,0,18-25
35,20000,0,26-35
26,43000,0,26-35
27,57000,0,26-35
19,76000,0,18-25
27,58000,0,26-35
27,84000,0,26-35
32,150000,1,26-35
25,33000,0,18-25
35,65000,0,26-35
26,80000,0,26-35
26,52000,0,26-35
20,86000,0,18-25
32,18000,0,26-35
18,82000,0,18-25
29,80000,0,26-35
47,25000,1,46-60
45,26000,1,36-45
46,28000,1,46-60
48,29000,1,46-60
45,22000,1,36-45
47,49000,1,46-60
48,41000,1,46-60
46,23000,1,46-60
47,20000,1,46-60
49,28000,1,46-60
47,30000,1,46-60
29,43000,0,26-35
31,18000,0,26-35
31,74000,0,26-35
27,137000,1,26-35
21,16000,0,18-25
28,44000,0,26-35
27,90000,0,26-35
35,27000,0,26-35
33,28000,0,26-35
30,49000,0,26-35
26,72000,0,26-35
27,31000,0,26-35
27,17000,0,26-35
33,51000,0,26-35
35,108000,0,26-35
30,15000,0,26-35
28,84000,0,26-35
23,20000,0,18-25
25,79000,0,18-25
27,54000,0,26-35
30,135000,1,26-35
31,89000,0,26-35
24,32000,0,18-25
18,44000,0,18-25
29,83000,0,26-35
35,23000,0,26-35
24,55000,0,18-25
23,48000,0,18-25
28,79000,0,26-35
22,18000,0,18-25
32,117000,0,26-35
27,20000,0,26-35
25,87000,0,18-25
23,66000,0,18-25
32,120000,1,26-35
59,83000,0,46-60
24,58000,0,18-25
24,19000,0,18-25
23,82000,0,18-25
22,63000,0,18-25
31,68000,0,26-35
25,80000,0,18-25
24,27000,0,18-25
20,23000,0,18-25
33,113000,0,26-35
34,112000,1,26-35
18,52000,0,18-25
22,27000,0,18-25
28,87000,0,26-35
26,17000,0,26-35
30,80000,0,26-35
39,42000,0,36-45
20,49000,0,18-25
35,88000,0,26-35
30,62000,0,26-35
31,118000,1,26-35
28,85000,0,26-35
26,81000,0,26-35
35,50000,0,26-35
22,81000,0,18-25
30,116000,0,26-35
26,15000,0,26-35
29,28000,0,26-35
35,44000,0,26-35
35,25000,0,26-35
28,123000,1,26-35
35,73000,0,26-35
28,37000,0,26-35
27,88000,0,26-35
28,59000,0,26-35
32,86000,0,26-35
33,149000,1,26-35
19,21000,0,18-25
21,72000,0,18-25
26,35000,0,26-35
27,89000,0,26-35
26,86000,0,26-35
38,80000,0,36-45
39,71000,0,36-45
37,71000,0,36-45
38,61000,0,36-45
37,55000,0,36-45
42,80000,0,36-45
40,57000,0,36-45
35,75000,0,26-35
36,52000,0,36-45
40,59000,0,36-45
41,59000,0,36-45
36,75000,0,36-45
37,72000,0,36-45
40,75000,0,36-45
35,53000,0,26-35
41,51000,0,36-45
39,61000,0,36-45
42,65000,0,36-45
26,32000,0,26-35
30,17000,0,26-35
26,84000,0,26-35
31,58000,0,26-35
33,31000,0,26-35
30,87000,0,26-35
21,68000,0,18-25
28,55000,0,26-35
23,63000,0,18-25
20,82000,0,18-25
30,107000,1,26-35
19,25000,0,18-25
19,85000,0,18-25
